ym,n,damni,afect,viv_destr
2003-01,2,9.0,0.0,1.0
2003-02,2,0.0,5.0,0.0
2003-03,2,18.0,6.0,7.0
2003-04,3,40.0,105.0,7.0
2003-05,1,0.0,0.0,2.0
2003-06,4,20.0,3.0,1.0
2003-07,1,6.0,0.0,1.0
2003-08,2,9.0,3.0,1.0
2003-09,1,0.0,2.0,0.0
2003-10,0,0.0,0.0,0.0
2003-11,0,0.0,0.0,0.0
2003-12,0,0.0,0.0,0.0
2004-01,1,155.0,193.0,40.0
2004-02,0,0.0,0.0,0.0
2004-03,0,0.0,0.0,0.0
2004-04,4,0.0,179.0,0.0
2004-05,0,0.0,0.0,0.0
2004-06,0,0.0,0.0,0.0
2004-07,0,0.0,0.0,0.0
2004-08,0,0.0,0.0,0.0
2004-09,1,0.0,70.0,0.0
2004-10,1,0.0,1700.0,0.0
2004-11,0,0.0,0.0,0.0
2004-12,0,0.0,0.0,0.0
2005-01,0,0.0,0.0,0.0
2005-02,4,15.0,4.0,2.0
2005-03,10,14.0,4503.0,2.0
2005-04,2,0.0,77.0,0.0
2005-05,1,9.0,0.0,1.0
2005-06,0,0.0,0.0,0.0
2005-07,0,0.0,0.0,0.0
2005-08,0,0.0,0.0,0.0
2005-09,0,0.0,0.0,0.0
2005-10,0,0.0,0.0,0.0
2005-11,1,10.0,0.0,2.0
2005-12,1,20.0,0.0,5.0
2006-01,6,406.0,500.0,40.0
2006-02,24,243.0,6411.0,60.0
2006-03,22,174.0,12226.0,35.0
2006-04,5,49.0,813.0,10.0
2006-05,0,0.0,0.0,0.0
2006-06,0,0.0,0.0,0.0
2006-07,0,0.0,0.0,0.0
2006-08,0,0.0,0.0,0.0
2006-09,0,0.0,0.0,0.0
2006-10,0,0.0,0.0,0.0
2006-11,0,0.0,0.0,0.0
2006-12,0,0.0,0.0,0.0
2007-01,8,7.0,371.0,0.0
2007-02,6,0.0,83.0,0.0
2007-03,7,235.0,4911.0,58.0
2007-04,11,221.0,917.0,5.0
2007-05,2,6.0,15.0,1.0
2007-06,1,0.0,12.0,0.0
2007-07,0,0.0,0.0,0.0
2007-08,0,0.0,0.0,0.0
2007-09,0,0.0,0.0,0.0
2007-10,1,0.0,90.0,0.0
2007-11,2,57.0,0.0,19.0
2007-12,0,0.0,0.0,0.0
2008-01,13,407.0,11581.0,51.0
2008-02,52,15007.0,91020.0,5234.0
2008-03,14,4345.0,18086.0,529.0
2008-04,12,1334.0,12979.0,59.0
2008-05,1,4.0,0.0,1.0
2008-06,0,0.0,0.0,0.0
2008-07,1,2.0,0.0,1.0
2008-08,0,0.0,0.0,0.0
2008-09,3,0.0,62.0,0.0
2008-10,0,0.0,0.0,0.0
2008-11,1,30.0,0.0,6.0
2008-12,2,19.0,0.0,4.0
2009-01,17,31.0,1384.0,7.0
2009-02,23,120.0,2302.0,0.0
2009-03,9,16.0,828.0,6.0
2009-04,2,0.0,27.0,0.0
2009-05,0,0.0,0.0,0.0
2009-06,3,0.0,39127.0,0.0
2009-07,0,0.0,0.0,0.0
2009-08,0,0.0,0.0,0.0
2009-09,0,0.0,0.0,0.0
2009-10,0,0.0,0.0,0.0
2009-11,0,0.0,0.0,0.0
2009-12,0,0.0,0.0,0.0
2010-01,7,87.0,594.0,21.0
2010-02,23,905.0,3025.0,135.0
2010-03,7,79.0,1705.0,18.0
2010-04,5,24.0,391.0,4.0
2010-05,1,5.0,0.0,1.0
2010-06,0,0.0,0.0,0.0
2010-07,0,0.0,0.0,0.0
2010-08,1,11.0,0.0,2.0
2010-09,0,0.0,0.0,0.0
2010-10,0,0.0,0.0,0.0
2010-11,0,0.0,0.0,0.0
2010-12,0,0.0,0.0,0.0
2011-01,1,0.0,600.0,0.0
2011-02,6,2.0,532.0,1.0
2011-03,0,0.0,0.0,0.0
2011-04,8,29.0,2164.0,9.0
2011-05,1,40.0,35.0,9.0
2011-06,1,3.0,0.0,1.0
2011-07,2,6.0,62.0,0.0
2011-08,0,0.0,0.0,0.0
2011-09,0,0.0,0.0,0.0
2011-10,0,0.0,0.0,0.0
2011-11,0,0.0,0.0,0.0
2011-12,1,0.0,14.0,0.0
2012-01,19,1469.0,4553.0,152.0
2012-02,64,5115.0,20361.0,238.0
2012-03,71,2339.0,33345.0,270.0
2012-04,26,1831.0,7678.0,88.0
2012-05,5,8.0,28.0,2.0
2012-06,2,5.0,0.0,0.0
2012-07,0,0.0,0.0,0.0
2012-08,2,11.0,0.0,0.0
2012-09,0,0.0,0.0,0.0
2012-10,4,0.0,570.0,0.0
2012-11,3,12.0,20.0,2.0
2012-12,1,6.0,0.0,0.0
2013-01,3,50.0,3055.0,0.0
2013-02,1,0.0,5.0,0.0
2013-03,24,183.0,3489.0,16.0
2013-04,2,0.0,4.0,0.0
2013-05,2,7.0,53.0,0.0
2013-06,0,0.0,0.0,0.0
2013-07,5,5.0,351.0,1.0
2013-08,1,0.0,500.0,0.0
2013-09,2,0.0,0.0,0.0
2013-10,6,60.0,665.0,4.0
2013-11,0,0.0,0.0,0.0
2013-12,2,0.0,800.0,0.0
2014-01,1,8.0,0.0,2.0
2014-02,0,0.0,0.0,0.0
2014-03,11,279.0,2068.0,23.0
2014-04,1,16.0,0.0,0.0
2014-05,2,15.0,260.0,0.0
2014-06,1,250.0,0.0,0.0
2014-07,0,0.0,0.0,0.0
2014-08,5,165.0,465.0,0.0
2014-09,0,0.0,0.0,0.0
2014-10,1,0.0,90.0,0.0
2014-11,2,35.0,1125.0,0.0
2014-12,0,0.0,0.0,0.0
2015-01,1,618.0,0.0,0.0
2015-02,2,20.0,88.0,0.0
2015-03,60,5788.0,66714.0,694.0
2015-04,10,151.0,9786.0,36.0
2015-05,3,0.0,4410.0,0.0
2015-06,1,0.0,0.0,0.0
2015-07,0,0.0,0.0,0.0
2015-08,1,1.0,0.0,1.0
2015-09,0,0.0,0.0,0.0
2015-10,0,0.0,0.0,0.0
2015-11,0,0.0,0.0,0.0
