reservorio,anio,mes,agua_ha,cobertura_valida,n_escenas
Poechos,2013,1,0,0,0
Poechos,2013,2,0,0,0
Poechos,2013,3,49.36847914428711,0.02265425927639072,1
Poechos,2013,4,0,0,0
Poechos,2013,5,4521.111797351217,0.9820500002907184,2
Poechos,2013,6,5600.3321965555115,0.9951312218897755,2
Poechos,2013,7,5873.151529651166,0.9954622787820147,2
Poechos,2013,8,130.56559322174672,0.1577576883192953,2
Poechos,2013,9,4868.612165712268,0.9928426105645443,1
Poechos,2013,10,4018.793792579321,0.9817108476791265,2
Poechos,2013,11,2634.165368054822,0.9405657742932534,1
Poechos,2013,12,2183.3680405319155,0.9382323531333513,2
Poechos,2014,1,1481.4961219988893,0.46066873638563927,1
Poechos,2014,2,2217.259198546382,0.9745320687742195,2
Poechos,2014,3,4422.752311807813,0.9954117169241182,2
Poechos,2014,4,5505.929086590048,0.9941780787068337,2
Poechos,2014,5,0,0,2
Poechos,2014,6,1950.3502343072637,0.47459425990909465,1
Poechos,2014,7,6069.114871239276,0.9953046969766752,2
Poechos,2014,8,5907.107410750086,0.9953029447443235,2
Poechos,2014,9,5876.361503154631,0.9952311774804071,2
Poechos,2014,10,4673.654801232239,0.991468335795729,2
Poechos,2014,11,3269.0509312869563,0.9883464167795653,1
Poechos,2014,12,2763.1504302656112,0.9760119322164145,2
Poechos,2015,1,3299.108134426844,0.995440606206519,2
Poechos,2015,2,2501.141601151147,0.45339191186185945,1
Poechos,2015,3,264.65141428222654,0.0347085537651286,2
Poechos,2015,4,0,0,0
Poechos,2015,5,5645.719053324261,0.958832724062524,2
Poechos,2015,6,0,0,1
Poechos,2015,7,35.559773364257815,0.09211384820031768,2
Poechos,2015,8,0,0,2
Poechos,2015,9,5271.44606030472,0.9955200558153543,2
Poechos,2015,10,3824.722006256582,0.9541635569216603,2
Poechos,2015,11,0,0.01210460352408181,2
Poechos,2015,12,2889.8603536610567,0.9863344789739538,2
Poechos,2016,1,65.23509005737304,0.031719947280345745,2
